sent1	sent2	gold	preds	dif
The wood probably isn't rotten, it's just worn out.	It's just worn out and not safe.	3	1.677228	1.322772
Two men are playing football.	"Two men are practicing football.
"	3.400	4.722753	1.322753
A woman riding a brown horse.	"A girl riding a brown horse.
"	4	2.690573	1.309427
A large pile of wooden items piled high.	"A large pile of scrap wood.
"	3.8	2.491405	1.308595
A person is scrubbing a zucchini.	"A woman is scrubbing a zucchini with a vegetable brush.
"	4.000	2.699416	1.3005840000000002
Opposition leaders emerge to commemorate Cambodian workers' deaths	"Cambodia opposition leaders summoned to court
"	0.4	1.7001549999999999	1.3001549999999997
Someone is on a blanket.	"The person is making a blanket.
"	1.400000	2.6797020000000003	1.2797020000000003
The man is exercising.	"A man is doing pull-ups.
"	3.200	1.928505	1.2714950000000003
The best thing you can do is to know your stuff.	The best thing to do is to overcome the fussiness.	0	1.270149	1.270149
A person is drawing on a large touchscreen.	"A man is drawing on a digital dry erase board.
"	3.000	1.730563	1.269437
I have the same thing.	I have had the same problem.	4	2.73505	1.2649499999999998
if you don't want to derail the meeting, but the key is to speak up.	The key thing you need to do in this meeting is listen.	1	2.25952	1.2595200000000002
You don't have to know.	You have no need to do anything.	2	0.7444569999999999	1.255543
You will want to clean the area first.	You will also want to remove the seeds.	0	1.254416	1.254416
Syria regime claims evacuation of 5,000 near Damascus	"Syria army continues mop-up operations near Damascus
"	1.6	2.849423	1.2494229999999997
Someone is playing a piano.	"Someone is playing guitar.
"	2.400	1.15457	1.2454299999999998
a man and woman walking past a record shop	"A man and woman kissing in front of a crowd of people.
"	0.20	1.442292	1.242292
MGM, NBC and Liberty executives were not immediately available for comment.	"A Microsoft spokesman was not immediately available to comment.
"	2.000	0.761249	1.2387510000000002
A person wipes butter on a tray.	"A person is buttering a tray.
"	4.250	3.020552	1.229448
You are on the right path.	You're right on about the sample definition.	0	1.22166	1.22166
"They said they had concluded that the film failed ""to present a balanced portrayal"" of the Reagans."	"CBS said the show ""does not present a balanced portrayal of the Reagans for CBS and its audience.
"	3.000	1.7821919999999998	1.2178080000000002
Man in yellow canoe paddling through water.	"Man paddling a yellow canoe towards a the shore.
"	4.2	2.984365	1.2156350000000002
"""Tomorrow at the Mission Inn, I have the opportunity to congratulate the governor-elect of the great state of California."	"""I have the opportunity to congratulate the governor-elect of the great state of California, and I'm looking forward to it.""
"	4.000	2.7873240000000004	1.2126759999999996
Three goats are being rounded up by a dog.	"Three goats are chased by a dog.
"	4.6	3.3890269999999996	1.210973
You have a problem.	This is a big problem.	4	2.7903740000000004	1.2096259999999996
A person driving a cart pulled by a bicycle.	"A man wearing a dust mask riding a three wheeled bicycle.
"	1.2	2.4050540000000002	1.2050540000000003
A black and white dog is jumping over a hurdle.	"A white dog running over a bridge.
"	2.00	3.2038919999999997	1.2038919999999997
The coffee simply picks up the aluminum from the pot, as the coffee is acidic.	One idea is cleaning the coffee residue from the coffee pot.	1	2.200514	1.200514
A man is eating a food.	"A man is eating a piece of bread.
"	3.400	2.204375	1.1956249999999997
Yes, there is a reason to not do what you propose.	Yes, there is a chemical difference.	0	1.1907020000000001	1.1907020000000001
A black and white cat and dog on a striped couch.	"A black and white cat standing in front of a window.
"	2.4	1.210125	1.189875
You have to decide what you want to get out of this.	You're probably going to have to read various blogs to get all the information you want.	0	1.189062	1.189062
I have the same thing.	I have the same problem.	4	2.811988	1.188012
A man is slicing an onion.	"A woman is slicing a pumpkin.
"	2.250	1.0627280000000001	1.1872719999999999
Primer/paint will not work.	Nope that will not work.	2	3.1865069999999998	1.1865069999999998
Sure, I've  done this very trip.	I've done this many dozens of times.	3	1.813982	1.186018
The best thing you can do is to know your stuff.	My recommendation is not to say anything, and do the best you can.	0	1.1847459999999999	1.1847459999999999
You can do it, too.	Yes, you can do it.	5	3.815582	1.184418
Three guys playing a pro game of basketball.	"two guys playing a game of baseball.
"	2.400000	1.216172	1.1838279999999999
Two black dogs are jumping and playing with a yellow tennis ball in the snow.	"A brown dog and a black dog playing with a yellow soccer ball.
"	2.00	3.18086	1.18086
Chiron already has nearly 20 percent acceptances from PowderJect's shareholders.	"Chiron has acceptances from holders of nearly 20 percent of PowderJect shares.
"	3.667	4.845333	1.1783330000000003
He was referring to John S. Reed, the former Citicorp chief executive who became interim chairman and chief executive of the exchange last Sunday .	"Next week, John S. Reed, the former Citicorp chief executive who Sunday became interim chairman and chief executive of the exchange, will take up his position.
"	4.000	2.826674	1.1733259999999999
"The best the investigators can do is nitpick about the process and substance of isolated business decisions ... and question his competence as a manager."""	"Ebbers' lawyer, Reid Weingarten, said despite the thorough investigation, ""the best the investigators can do is nitpick about the process and substance of isolated business decisions.""
"	3.500	2.334146	1.165854
It depends on what you want to do next, and where you want to do it.	In other words, it depends on where you go, when you do there and how.	4	2.8370580000000003	1.1629419999999997
"""We believe we are fully prepared to roll out the [touch-screen] machines for the 2004 presidential primary,"" said Gilles W. Burger, State Board of Elections chairman."	"""We believe we are fully prepared to roll out the revised Diebold machines,"" said Gilles W. Burger, chairman of the Maryland State Board of Elections.
"	3.750	2.587282	1.162718
Supreme Court to Hear Voting Rights Act Case	"Supreme Court to hear corporate human rights case
"	1.4	2.55361	1.15361
A brown and white cow in a field looking into the camera.	"The black and white cat is looking up at the camera.
"	1.6	0.447621	1.152379
A  man is dancing.	"A man and woman is dancing.
"	2.000	3.144291	1.144291
A line of scooters are parking in the middle of a street.	"A line of motor bikes are parked in the middle of a street.
"	4.400000	3.257422	1.1425780000000003
For the full 12-month period, high-speed cable modem connections increased by 49 percent.	"For the full year period ending June 30, 2003, high-speed lines increased by 45 percent.
"	3.333	2.196927	1.136073
A girl is coming up on a car.	"A girl jumps on top of a car.
"	2.600	3.735893	1.1358929999999998
A surfer is riding on a breaking wave.	"a group of surfers catching a wave
"	2.60	3.7305839999999995	1.1305839999999994
Klarman was arrested by FBI agents in the Hamptons, an exclusive summer resort enclave east of New York City.	"Klarman was arrested by FBI agents Monday morning at his home in New York.
"	4.000	2.86952	1.13048
It depends on what you want to do next, and where you want to do it.	It depends on what you want to be able to do.	3	1.870055	1.129945
World Cup live: France 0-0 Germany	"World Cup live: Germany 0-0 Ghana
"	1.40	2.529584	1.129584
A group of men play soccer on the beach.	"A group of boys are playing soccer on the beach.
"	3.600	2.4709779999999997	1.1290220000000004
Defiant Mugabe sworn in for seventh term blasts 'vile' West	"Mugabe sworn in for another term
"	4	2.87248	1.12752
A close-up of a gray cat with green eyes.	"A close-up of a cat on a cream sofa.
"	2.4	1.277879	1.122121
AbbVie Sours on $55B Shire Deal After Tax Changes	AbbVie cools on $55bn Shire deal after US tax changes	5	3.8787830000000003	1.1212169999999997
I think there isn't a general answer.	I don't think there is a single definition.	4	2.881695	1.1183049999999999
A man is playing a guitar.	"A man is singing while playing the guitar.
"	3.600	2.4923189999999997	1.1076810000000004
Unfortunately the answer to your question is we simply do not know.	The answer to your question is not really.	1	2.106464	1.106464
You need to read a lot to know what you like and what you don't.	You have to know what you want to do.	0	1.1053680000000001	1.1053680000000001
A woman opens a window.	"A woman is looking out a window.
"	2.000	3.105011	1.1050110000000002
It depends on what you want to do next, and where you want to do it.	It's up to you what you want to do next.	4	2.896517	1.1034830000000002
A group of people sit at a table in an Italian restaurant.	"A group of six people sitting at a table with salad served.
"	3	1.8986150000000002	1.1013849999999998
If you are not sure how to do it, don't do it at all.	You don't, it will not work.	1	2.099844	1.099844
It's pretty much up to you.	It is up to you.	5	3.9026199999999998	1.0973800000000002
A young Asian girl is applying eyeliner.	"A girl is putting on eye makeup.
"	2.400	3.49433	1.0943300000000002
A little girl is riding a toy tricycle on springs.	"A little girl is playing on a toy outdoors.
"	2.80	1.70617	1.0938299999999999
I have the same thing.	I had the same problem as you.	3	1.906886	1.093114
It really doesn't matter.	It doesn't matter unless it is really far off.	3	1.9086509999999999	1.0913490000000001
Ten rescued off Waterford, Dublin coasts	"Six rescued after boat capsizes in Dublin Bay
"	2.6	3.690376	1.090376
US Senate votes to advance Iran nuclear review bill	US scientists praise Iran nuclear deal	1	2.088054	1.088054
You don't need to know everything.	You don't have to know.	3	4.087941000000001	1.0879410000000007
"""The discovery that the MAP bug is present in the vast majority of Crohn's sufferers means it is almost certainly causing the intestinal inflammation,"" it said in a statement."	"The researchers say that the fact the MAP bug is present in the vast majority of Crohns sufferers means it is almost certainly causing the intestinal inflammation.
"	4.600	3.5157599999999998	1.0842399999999999
There are a few possible reasons.	There are a few reasons that paint wrinkles.	3	1.926046	1.073954
He was tracked to Atlanta where he was arrested on Tuesday night.	"He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off.
"	2.500	3.569144	1.069144
Southwest jet hit nose first	"Southwest Jet's Nose Gear Landed First
"	3.60	4.668807	1.068807
Sandy slams into Northeast; at least 18 dead, 7.4M without power	"Eastern U.S. storms leave 2 dead in Va., 2 million without power
"	2.6	1.536122	1.063878
A man puts three pieces of meat into a pan.	"A man is putting meat in a pan.
"	4.000	2.936763	1.063237
You need to read a lot to know what you like and what you don't.	Yes, you should create a portfolio site to showcase what you can do and what you've done.	0	1.062559	1.062559
A wet, blond dog carries a stick on the shore.	"The wet, brown dog has a stick in his mouth and is running in the sand next to the water.
"	3.60	2.5381419999999997	1.0618580000000004
Blizzard hammers U.S. Northeast, five dead, 700,000 lose power	"Blizzard wallops US Northeast, closes roads
"	2.2	3.26138	1.0613799999999998
Two men wearing traditional clothing is standing outside.	"Three women wearing black vests and gray shirts are talking outside of a building.
"	2.000000	0.938966	1.061034
2 Cows are in a field.	"Two sheep are in a field.
"	2.400000	1.339568	1.0604319999999998
The key thing to realize here is that it's not your job to make people do their work.	It really isn't your problem how they are going to find a qualified person to do the job.	1	2.0580849999999997	1.0580849999999997
New legit download service launches with PC users in mind.	"BuyMusic is the first subscription-free paid download music service for PC users.
"	2.400	3.4532339999999997	1.0532339999999998
A cat plays in his water.	"The cat fished a straw out ouf his water dish.
"	3.500	2.4481450000000002	1.0518549999999998
Sunday Times journalist Marie Colvin killed in Syria	"Sunday Times journalist, French photographer 'killed in Syria'
"	2.8	3.8518230000000004	1.0518230000000006
There is no test that can tell you if it is sealed or not.	There is no code telling you that you cannot do this.	0	1.051341	1.051341
There is no maximum.	There is no quarantine period.	0	1.049825	1.049825
UBS settles US mortgage lawsuit	"UBS settles US mortgage lawsuit and takes £600m charge
"	3	4.043117	1.0431169999999996
Elderly woman sitting on red patterned couch with her arm around younger woman.	"Two women sitting on couch posing for camera.
"	3.6	2.5569040000000003	1.0430959999999998
It's not a good idea.	It's not just a good idea, it's an excellent idea.	1	2.039047	1.039047
A pitcher on a mound throws a baseball.	"A boy in the middle of a pitch at a baseball game.
"	3.40	2.3622400000000003	1.0377599999999996
A man and woman are posing for the camera.	"A cat sitting on sand looking up at the camera.
"	1.4	0.366091	1.033909
It has a margin of error of plus or minus 4 percentage points.	"That poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points.
"	2.500	1.4666709999999998	1.0333290000000002
Three women cook.	"Two women cooking.
"	3.200000	2.167761	1.0322390000000001
A black and white photo of a love seat.	"Black and white photo of couch with purse at one end.
"	3.4	2.369507	1.0304929999999999
Malala, Snowden, Belarusians Short-Listed For Sakharov Prize	"Fugitive Snowden short-listed for European rights prize
"	3.60	2.570026	1.0299740000000002
"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen."	"""My understanding of this is that there is a lower percentage of successful impregnations with frozen,"" Ezzell said.
"	3.600	2.572795	1.027205
The dog is chasing the geese.	"One dog is chasing the other.
"	1.600000	2.626888	1.026888
The elderly and those with weakened immune systems are also urged to protect against mosquito bites.	"But for the elderly and those with weakened immune systems, it can be fatal.
"	2.600	1.574234	1.0257660000000002
Now, with the agency's last three shuttles grounded in the wake of the Columbia disaster, that wait could be even longer.	"With the remaining three shuttles grounded in the wake of the Columbia accident, the rookies will have to wait even longer.
"	4.400	3.3782870000000003	1.021713
Romney Wins Nevada Caucus	"Romney shifts focus to Santorum ahead caucuses
"	1	2.018513	1.018513
You got it right.	Yes you got it.	5	3.983257	1.016743
There are a few things I think you should do.	There are a few things I don't understand:	0	1.016389	1.016389
Syria fighting rages as Russia urges Western re-think	"Syria fighting rages in capital, Russia pressed
"	2.6	3.6132190000000004	1.0132190000000003
A man riding on the back of an orange SUV.	"an African man hanging onto the back of a very full yellow van.
"	1.8	2.811301	1.0113009999999998
KL shares higher at mid-afternoon	"KL shares lower at mid-morning
"	1.6	2.6098220000000003	1.0098220000000002
It's pretty much up to you.	It's much better to ask.	0	1.009206	1.009206
A human riding a skateboard.	"A child is riding a skateboard.
"	3.800000	2.792125	1.0078749999999999
What the Papers Say, Aug. 19, 2013	"What the Papers Say, Dec. 30, 2013
"	2.67	1.663989	1.006011
Twelve killed in bomb blast on Pakistani train	"Gunmen kill nine in southwest Pakistan: Police
"	2.00	0.995417	1.004583
"My answer to your question is ""Probably Not""."	I think that the short  answer to your question is: No.	4	2.9957290000000003	1.0042709999999997
This doesn't answer your question, but:	This is a part answer to your question	1	2.004151	1.0041509999999998
The Space Infrared Telescope Facility's mission is to search for the beginnings of the universe.	"NASA is scheduled to launch the Space Infrared Telescope Facility on Monday morning.
"	2.500	1.495859	1.004141
There are two ways to start with: plunging and dripping.	There are two traditional ways to bend wood:	0	1.0023799999999998	1.0023799999999998
Have you tried asking your employees?	Have you tried asking?	4	2.99791	1.00209
HRW: Jordan turning away Palestinian refugees from Syria	"Report: Jordan biased over Palestinians from Syria
"	2.2	3.201553	1.001553
A small white dog climbs over a log.	"a small dog steps onto a log.
"	2.80	3.8010940000000004	1.0010940000000006
You should do it.	You should prime it first.	0	0.993303	0.993303
Dog is jumping down a ramp.	"A girls is jumping in the sand.
"	1.20	0.209531	0.9904689999999999
Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, had begun to read the Bible daily.	"Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, became a born-again Christian in June 2002.
"	3.600	2.6097069999999998	0.9902930000000003
Hope this is what you are looking for.	Is this the kind of thing you're looking for ?	4	3.0112970000000003	0.9887029999999997
Two women walk down the sidewalk to the store.	"Two women walk down the sidewalk in the afternoon.
"	3.800000	2.811881	0.9881189999999997
You just have to base your answer on what you do know, which is what you want.	It is his job to see that you have what you need to do your job.	0	0.98305	0.98305
The # 2 greyhound dog is running around a track.	"a muzzled greyhound dog is running around a track
"	4.00	3.019641	0.980359
Two kids are swimming.	"Six kids are going swimming.
"	2.800000	1.819698	0.9803019999999998
A woman mixes up vegetables.	"A woman is adding ingredients to a skillet.
"	1.600	2.578945	0.978945
Three sheep on a dirt road viewed from a passenger vehicle.	"Three sheep on a dirt road shot from a car.
"	2.2	3.178285	0.9782849999999996
Syria rejects US, UK chemical arms claims	"US suspects Syria used chemical weapons
"	2.6	1.626809	0.9731910000000001
US says ready to help blind Chinese activist	"U.S. ready to help Chinese activist: official
"	3.4	4.372601	0.9726010000000005
Chinese stocks close higher midday Friday	"Chinese stocks open lower Friday
"	1	1.9716330000000002	0.9716330000000002
US government 'on the edge of shutdown'	"Obama rejects GOP offer to ease shutdown
"	2.4	1.429188	0.970812
Ten people riding ATVs.	"4 people are riding bikes
"	1.600000	0.630642	0.969358
Three dogs running in the dirt.	"The yellow dog is running on the dirt road.
"	1.40	2.367355	0.967355
The tennis player hit the ball into outer space and broke the death star.	"A female tennis player is leaping into the air to hit the ball.
"	1.200000	2.165998	0.9659980000000001
A child is waking up.	"A girl is waking up.
"	3.200	2.236609	0.9633910000000001
Syrian opposition pleads for criminal court action	"Syrian opposition leader criticizes U.S.
"	2.2	1.237235	0.9627650000000001
Yesterday, shares closed up 29 cents, or 0.54 percent, at $54.32.	"Amazon's shares yesterday closed at $54.32 on the Nasdaq Stock Market, up 29 cents.
"	2.800	3.7624230000000005	0.9624230000000007
Chicago teachers strike in bitter contract dispute	"Chicago teachers union delegates could end strike
"	2.4	3.361607	0.9616069999999999
A woman is cutting tofu.	"A woman is cutting an onion.
"	2.400	1.439418	0.9605819999999998
Former Pakistan President Pervez Musharraf arrested again	"Former Pakistan military ruler Pervez Musharraf granted bail
"	3.00	2.040411	0.9595889999999998
people walk home	"People waiting.
"	1.600000	0.642221	0.957779
A grey cat lying on a wooden table.	"A grey cat laying on a dining table.
"	4	3.0427869999999997	0.9572130000000003
You need to read a lot to know what you like and what you don't.	You should tell a good story and sometimes you have to tweak reality/history to do so.	0	0.9475690000000001	0.9475690000000001
The cats are running through the grass.	"Some dogs running through the park.
"	2.000000	1.052516	0.947484
In the US, it will depend on the school.	This will depend on the university.	4	3.0532529999999998	0.9467470000000002
There's not a lot you can do about that.	I'm afraid there's not really a lot you can do.	5	4.053323000000001	0.9466769999999993
A kid sits on a soccer ball outside.	"A kid sitting on a soccer ball at the park.
"	4.200000	3.2550209999999997	0.9449790000000005
You don't have to know.	You don't have equipments/facilities to do research in B.	0	0.944139	0.944139
A man and a woman walk with a white dog on a leash.	"A man, woman and dog walk down a paved road.
"	4.00	3.056855	0.9431449999999999
Only Intel Corp.'s 0.3 percent yield was lower.	"Only Intel Corp. has a lower dividend yield.
"	2.800	3.7415010000000004	0.9415010000000006
You are on the right path.	You are right on the mark.	4	3.058941	0.9410590000000001
The answer to both questions is: Yes.	If the answer to any of these questions is yes, a PhD may be worthwhile for you.	3	2.059428	0.940572
The best thing you can do is to know your stuff.	The best thing you can do is find something else interesting to do while you wait on hold.	2	1.060958	0.9390419999999999
"The agency will ""consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22."	"The agency said it would consider as timely any tax returns or payments due from Friday through Aug. 22 if they are completed by Aug. 22.
"	4.250	3.312447	0.9375529999999999
A little girl peddling a scooter.	"A girl is riding a scooter.
"	2.750	3.68486	0.93486
He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.	"He refused to say what percentage of domestic flights had security officers on board.
"	3.800	2.866188	0.9338119999999996
A boy skateboards down the railing of some graffiti stairs	"A skateboarder slides down a handrail on his feet.
"	2.60	3.5319949999999998	0.9319949999999997
It calls for the agency to plan an independent safety and engineering organization.	"The agency has yet to fully formulate a strategy for the creation of an independent engineering technical authority.
"	3.400	2.4706580000000002	0.9293419999999997
A man is working on his farm.	"An old guy is working on his farm and a cow kicks him.
"	2.800000	1.8727200000000002	0.9272799999999997
the men are about to score in a water polo tournament	"The two men are about to compete in a match.
"	2.000000	2.9259459999999997	0.9259459999999997
A woman is slicing an onion.	"A woman is slicing lemons.
"	2.200	1.27816	0.9218400000000002
The two kids look at the products sold inside the subway shop.	"The kids are stealing from a store.
"	0.800000	1.721812	0.9218119999999999
Yes, you should make a résumé.	Yes, you should talk to your professor.	0	0.9217059999999999	0.9217059999999999
A woman is playing an electric guitar.	"A man is playing an acoustic guitar.
"	2.400	1.4785030000000001	0.9214969999999998
Democrats currently hold a 17-15 advantage in the state's congressional delegation.	"The Texas congressional delegation now is 17-15 Democratic.
"	2.600	3.5206269999999997	0.9206269999999996
You just have to base your answer on what you do know, which is what you want.	You have to do what is right for you.	2	1.080643	0.919357
Microwave would be your best bet.	Your best bet is research.	0	0.918509	0.918509
Coroner: Whitney Houston died in bathtub	"Coroner confirms Whitney Houston found in bathtub
"	4.5	3.5833239999999997	0.9166760000000003
You also imply you may not be paid if they cannot place you with a client.	You can do it, but you might not be a professor.	0	0.916367	0.916367
A man eats popcorn while watching cartoons late one night.	"A man and a girl are watching cartoons at home
"	2.800000	1.8846319999999999	0.915368
U.S. dumps bombs at Great Barrier Reef	"U.S. military jettisons bombs near Australia's Great Barrier Reef
"	3.8	4.715325	0.9153250000000002
It's also a matter of taste.	It's definitely just a matter of preference.	5	4.088757	0.9112429999999998
Four girls in swimsuits are playing volleyball at the beach.	"Four ladies in swimsuits play sand volleyball on the beach.
"	4.00	4.911212	0.9112119999999999
